Country/area,Technology,2019,2020,2021,2022,2023
Dominican Republic (the),Solar thermal energy,,,,,
Ecuador,Concentrated solar power,,,,,
Ecuador,Marine energy,,,,,
Ecuador,Nuclear,,,,,
Ecuador,Offgrid solar photovoltaic,,,3.15,77,95.83
Ecuador,Offshore wind energy,,,,,
Ecuador,Ongrid solar photovoltaic,,,2.28,,138.94
Ecuador,Onshore wind energy,,,,,
Ecuador,Pumped storage,,,,,
Ecuador,Renewable hydropower,,,,,
Ecuador,Solar thermal energy,,,,,
Egypt,Concentrated solar power,,,,,
Egypt,Marine energy,,,,,
Egypt,Nuclear,,0.11,,,
Egypt,Offgrid solar photovoltaic,,,,,
Egypt,Offshore wind energy,,,,,
Egypt,Ongrid solar photovoltaic,34.87,22.81,68.29,360.17,
Egypt,Onshore wind energy,126.52,129.39,,353.24,65.94
Egypt,Pumped storage,,,,,
Egypt,Renewable hydropower,0,,,27.34,14.84
Egypt,Solar thermal energy,,,,,
El Salvador,Concentrated solar power,,,,,
El Salvador,Marine energy,,,,,
El Salvador,Nuclear,,,,,
El Salvador,Offgrid solar photovoltaic,,,,,
El Salvador,Offshore wind energy,,,,,
El Salvador,Ongrid solar photovoltaic,,,,0.07,
El Salvador,Onshore wind energy,,,,,
El Salvador,Pumped storage,,,,,
El Salvador,Renewable hydropower,,,,100,
El Salvador,Solar thermal energy,,,,,
Equatorial Guinea,Concentrated solar power,,,,,
Equatorial Guinea,Marine energy,,,,,
Equatorial Guinea,Nuclear,,,,,
Equatorial Guinea,Offgrid solar photovoltaic,,,,,
Equatorial Guinea,Offshore wind energy,,,,,
Equatorial Guinea,Ongrid solar photovoltaic,,,,,
Equatorial Guinea,Onshore wind energy,,,,,
Equatorial Guinea,Pumped storage,,,,,
Equatorial Guinea,Renewable hydropower,,,,,
Equatorial Guinea,Solar thermal energy,,,,,
Eritrea,Concentrated solar power,,,,,
Eritrea,Marine energy,,,,,
Eritrea,Nuclear,,,,,
Eritrea,Offgrid solar photovoltaic,,0,,0.25,
Eritrea,Offshore wind energy,,,,,
Eritrea,Ongrid solar photovoltaic,,,,,46.39
Eritrea,Onshore wind energy,,,,,
Eritrea,Pumped storage,,,,,
Eritrea,Renewable hydropower,,,,,
Eritrea,Solar thermal energy,,,,,
Estonia,Concentrated solar power,,,,,
Estonia,Marine energy,,,,,
Estonia,Nuclear,,,,,
Estonia,Offgrid solar photovoltaic,,,,,
Estonia,Offshore wind energy,,,,,
Estonia,Ongrid solar photovoltaic,,10.55,,,22.8
Estonia,Onshore wind energy,,,,84.24,
Estonia,Pumped storage,,,,,
Estonia,Renewable hydropower,,,,,
Estonia,Solar thermal energy,,,,,
Eswatini,Concentrated solar power,,,,,
Eswatini,Marine energy,,,,,
Eswatini,Nuclear,,,,,
Eswatini,Offgrid solar photovoltaic,0.5,0.03,,,
Eswatini,Offshore wind energy,,,,,
Eswatini,Ongrid solar photovoltaic,1.02,,0.23,0.07,0.34
Eswatini,Onshore wind energy,,,,,
Eswatini,Pumped storage,,,,,
Eswatini,Renewable hydropower,,,,,
Eswatini,Solar thermal energy,,,,,
Ethiopia,Concentrated solar power,,,,,
Ethiopia,Marine energy,,,,,
Ethiopia,Nuclear,,,,,
Ethiopia,Offgrid solar photovoltaic,1.67,0.06,0.01,0.63,1.52
Ethiopia,Offshore wind energy,,,,,
Ethiopia,Ongrid solar photovoltaic,0.01,,376.16,,
Ethiopia,Onshore wind energy,56.4,,22.76,0.08,20.52
Ethiopia,Pumped storage,,,,,
Ethiopia,Renewable hydropower,0,1.3,,,
Ethiopia,Solar thermal energy,0.42,,0.04,,
European Union (27),Concentrated solar power,,,,,
European Union (27),Marine energy,,,,,
European Union (27),Nuclear,,,,,
European Union (27),Offgrid solar photovoltaic,,,,,
European Union (27),Offshore wind energy,,,,,
European Union (27),Ongrid solar photovoltaic,,,,,
European Union (27),Onshore wind energy,,,,,
European Union (27),Pumped storage,,,,,
European Union (27),Renewable hydropower,,,,,
European Union (27),Solar thermal energy,,,,,
Fiji,Concentrated solar power,,,,,
Fiji,Marine energy,,,,,
Fiji,Nuclear,,,,,
Fiji,Offgrid solar photovoltaic,,0.04,,,0.72
Fiji,Offshore wind energy,,,,,
Fiji,Ongrid solar photovoltaic,0.01,4.01,0.01,,
Fiji,Onshore wind energy,,,,,
Fiji,Pumped storage,,,,,
Fiji,Renewable hydropower,0,,0.48,,0.32
Fiji,Solar thermal energy,,,,,
Finland,Concentrated solar power,,,,,
Finland,Marine energy,,,,,
Finland,Nuclear,,,,,
Finland,Offgrid solar photovoltaic,,,,,
Finland,Offshore wind energy,,,,,
Finland,Ongrid solar photovoltaic,,,,,
Finland,Onshore wind energy,,,65.59,,65.83
Finland,Pumped storage,,,,,
Finland,Renewable hydropower,,134.2,,,65.83
Finland,Solar thermal energy,,,,,
France,Concentrated solar power,,,,,
France,Marine energy,,,,,
France,Nuclear,,,,,
France,Offgrid solar photovoltaic,,,,,
France,Offshore wind energy,,507.44,385.08,168.49,1228.46
France,Ongrid solar photovoltaic,,,,,
France,Onshore wind energy,,,,,
France,Pumped storage,,,,,
France,Renewable hydropower,,,,,
France,Solar thermal energy,,,,,
French Guiana,Concentrated solar power,,,,,
French Guiana,Marine energy,,,,,
French Guiana,Nuclear,,,,,
French Guiana,Offgrid solar photovoltaic,,,,,
French Guiana,Offshore wind energy,,,,,
French Guiana,Ongrid solar photovoltaic,,,27.51,,
French Guiana,Onshore wind energy,,,,,
French Guiana,Pumped storage,,,,,
French Guiana,Renewable hydropower,,,,,
French Guiana,Solar thermal energy,,,,,
French Polynesia,Concentrated solar power,,,,,
French Polynesia,Marine energy,,,,,
French Polynesia,Nuclear,,,,,
French Polynesia,Offgrid solar photovoltaic,,,,,
French Polynesia,Offshore wind energy,,,,,
French Polynesia,Ongrid solar photovoltaic,,,,,
French Polynesia,Onshore wind energy,,,,,
French Polynesia,Pumped storage,,,,,
French Polynesia,Renewable hydropower,,,,,
French Polynesia,Solar thermal energy,,,,,
Gabon,Concentrated solar power,,,,,
Gabon,Marine energy,,,,,
Gabon,Nuclear,,,,,
Gabon,Offgrid solar photovoltaic,,,,,
Gabon,Offshore wind energy,,,,,
Gabon,Ongrid solar photovoltaic,,,,,
Gabon,Onshore wind energy,,,,,
Gabon,Pumped storage,,,,,
Gabon,Renewable hydropower,,,75.42,,
Gabon,Solar thermal energy,,,,,
Gambia (the),Concentrated solar power,,,,,
Gambia (the),Marine energy,,,,,
Gambia (the),Nuclear,,,,,
Gambia (the),Offgrid solar photovoltaic,,,,25.38,0.18
Gambia (the),Offshore wind energy,,,,,
Gambia (the),Ongrid solar photovoltaic,11.12,31.12,0.01,0.11,
Gambia (the),Onshore wind energy,,,,,
Gambia (the),Pumped storage,,,,,
Gambia (the),Renewable hydropower,,,,,
Gambia (the),Solar thermal energy,,,,,
Georgia,Concentrated solar power,,,,,
Georgia,Marine energy,,,,,
Georgia,Nuclear,,0.07,,,
Georgia,Offgrid solar photovoltaic,0.38,0.01,0.11,,
Georgia,Offshore wind energy,,,,,
Georgia,Ongrid solar photovoltaic,11.69,0.66,0.86,0.92,0.81
Georgia,Onshore wind energy,0.11,0.05,,3.82,
Georgia,Pumped storage,,,,,
Georgia,Renewable hydropower,0.03,,2.91,2.18,29.01
Georgia,Solar thermal energy,0.03,,,,
Germany,Concentrated solar power,,,,,
Germany,Marine energy,,,,,
Germany,Nuclear,,,,,
Germany,Offgrid solar photovoltaic,,,,,
Germany,Offshore wind energy,,,170.68,631.83,
Germany,Ongrid solar photovoltaic,,,,,
Germany,Onshore wind energy,,,,,
Germany,Pumped storage,,,,,
Germany,Renewable hydropower,,,,,
Germany,Solar thermal energy,,,,,
Ghana,Concentrated solar power,,,,,
Ghana,Marine energy,,,,,
Ghana,Nuclear,,0.02,,,0
Ghana,Offgrid solar photovoltaic,,,,54.59,0.54
Ghana,Offshore wind energy,,,,,
Ghana,Ongrid solar photovoltaic,2.69,17.11,0.05,68.62,0.06
Ghana,Onshore wind energy,,,,,
Ghana,Pumped storage,,,,,
Ghana,Renewable hydropower,,,14.25,0.02,0.23
Ghana,Solar thermal energy,,,,,4.72
Greece,Concentrated solar power,,,,,
Greece,Marine energy,,,,,
Greece,Nuclear,,,,,
Greece,Offgrid solar photovoltaic,,,,,
Greece,Offshore wind energy,,,,,
Greece,Ongrid solar photovoltaic,,88.05,,,
Greece,Onshore wind energy,,,,,
Greece,Pumped storage,,,,,
Greece,Renewable hydropower,,,,,
Greece,Solar thermal energy,,,,,
Grenada,Concentrated solar power,,,,,
Grenada,Marine energy,,,,,
Grenada,Nuclear,,,,,
Grenada,Offgrid solar photovoltaic,,,,,
Grenada,Offshore wind energy,,,,,
Grenada,Ongrid solar photovoltaic,,,2.91,,
Grenada,Onshore wind energy,,,,,
Grenada,Pumped storage,,,,,
Grenada,Renewable hydropower,,,,,
Grenada,Solar thermal energy,,,,,
Guatemala,Concentrated solar power,,,,,
Guatemala,Marine energy,,,,,
Guatemala,Nuclear,,,,,
Guatemala,Offgrid solar photovoltaic,,,,,
Guatemala,Offshore wind energy,,,,,
Guatemala,Ongrid solar photovoltaic,,0.07,,0.03,
Guatemala,Onshore wind energy,58.23,,,,
Guatemala,Pumped storage,,,,,
Guatemala,Renewable hydropower,0,0.17,,3.52,0.9
Guatemala,Solar thermal energy,,,,,
Guinea,Concentrated solar power,,,,,
Guinea,Marine energy,,,,,
Guinea,Nuclear,,,,,
Guinea,Offgrid solar photovoltaic,,,0.01,0.02,
Guinea,Offshore wind energy,,,,,
Guinea,Ongrid solar photovoltaic,21.55,,,,
Guinea,Onshore wind energy,,,,,
Guinea,Pumped storage,,,,,
Guinea,Renewable hydropower,,,187.04,,
Guinea,Solar thermal energy,,,,,
GuineaBissau,Concentrated solar power,,,,,
GuineaBissau,Marine energy,,,,,
GuineaBissau,Nuclear,,,,,
GuineaBissau,Offgrid solar photovoltaic,,,,,0.03
GuineaBissau,Offshore wind energy,,,,,
GuineaBissau,Ongrid solar photovoltaic,,,,,
GuineaBissau,Onshore wind energy,,,,,
GuineaBissau,Pumped storage,,,,,
GuineaBissau,Renewable hydropower,,,,,
GuineaBissau,Solar thermal energy,,,,,
Guyana,Concentrated solar power,,,,,
Guyana,Marine energy,,,,,
Guyana,Nuclear,,,,,
Guyana,Offgrid solar photovoltaic,,,,,0.08
Guyana,Offshore wind energy,,,,,
Guyana,Ongrid solar photovoltaic,,1.54,2.91,83.3,
Guyana,Onshore wind energy,,,,,
Guyana,Pumped storage,,,,,
Guyana,Renewable hydropower,15.5,,,,
Guyana,Solar thermal energy,,,,,
Haiti,Concentrated solar power,,,,,
Haiti,Marine energy,,,,,
Haiti,Nuclear,,,,,
Haiti,Offgrid solar photovoltaic,8.47,,2.91,2.9,5.32
Haiti,Offshore wind energy,,,,,
Haiti,Ongrid solar photovoltaic,0.08,2.11,2.91,,0.01
Haiti,Onshore wind energy,,,5.53,,
Haiti,Pumped storage,,,,,
Haiti,Renewable hydropower,,,0.96,,
Haiti,Solar thermal energy,,0.04,,,
Honduras,Concentrated solar power,,,,,
Honduras,Marine energy,,,,,
Honduras,Nuclear,,,,,
Honduras,Offgrid solar photovoltaic,,,1.38,,
Honduras,Offshore wind energy,,,,,
Honduras,Ongrid solar photovoltaic,0.31,,14,0.05,0.58
Honduras,Onshore wind energy,,,,,
Honduras,Pumped storage,,,,,
Honduras,Renewable hydropower,0.12,18.5,0.63,,
Honduras,Solar thermal energy,,,,,
Hungary,Concentrated solar power,,,,,
Hungary,Marine energy,,,,,
Hungary,Nuclear,,,,,
Hungary,Offgrid solar photovoltaic,,,,,
Hungary,Offshore wind energy,,,,,
Hungary,Ongrid solar photovoltaic,,,,,
Hungary,Onshore wind energy,,,,,
Hungary,Pumped storage,,,,,
Hungary,Renewable hydropower,,,,,
Hungary,Solar thermal energy,,,,,
Iceland,Concentrated solar power,,,,,
Iceland,Marine energy,,,,,
Iceland,Nuclear,,,,,
Iceland,Offgrid solar photovoltaic,,,,,
Iceland,Offshore wind energy,,,,,
Iceland,Ongrid solar photovoltaic,,,,,
Iceland,Onshore wind energy,,,,,
Iceland,Pumped storage,,,,,
Iceland,Renewable hydropower,,,,,
Iceland,Solar thermal energy,,,,,
India,Concentrated solar power,,,,,
India,Marine energy,,,,,
India,Nuclear,,,,,
India,Offgrid solar photovoltaic,0.03,11.54,694.27,20,620.03
India,Offshore wind energy,,,,,
India,Ongrid solar photovoltaic,311.83,716.59,268.81,259.47,1082.2
India,Onshore wind energy,92.13,51.52,72.74,17.42,351.22
India,Pumped storage,,,,,
India,Renewable hydropower,44.07,237.59,10.83,86.59,583.75
India,Solar thermal energy,0.1,,,,0.07
Indonesia,Concentrated solar power,,,,,
Indonesia,Marine energy,0.67,,,,
Indonesia,Nuclear,0.01,,,,2.24
Indonesia,Offgrid solar photovoltaic,,,346.46,,260.31
Indonesia,Offshore wind energy,,,,,
Indonesia,Ongrid solar photovoltaic,0.91,21.02,4.27,,0.01
Indonesia,Onshore wind energy,0.26,27.83,1.41,2.68,1.01
Indonesia,Pumped storage,,,,,
Indonesia,Renewable hydropower,,44.67,2.44,291.03,103.47
Indonesia,Solar thermal energy,,,,7.68,0.11
Iran (Islamic Republic of),Concentrated solar power,,,,,
Iran (Islamic Republic of),Marine energy,,,,,
Iran (Islamic Republic of),Nuclear,5.73,5.63,5.5,,2.49
Iran (Islamic Republic of),Offgrid solar photovoltaic,,,,,
Iran (Islamic Republic of),Offshore wind energy,,,,,
Iran (Islamic Republic of),Ongrid solar photovoltaic,,,,,
Iran (Islamic Republic of),Onshore wind energy,,,,,
Iran (Islamic Republic of),Pumped storage,,,,,
Iran (Islamic Republic of),Renewable hydropower,,,,,
Iran (Islamic Republic of),Solar thermal energy,,,,0.06,
Iraq,Concentrated solar power,,,,,
Iraq,Marine energy,,,,,
Iraq,Nuclear,,,,,
Iraq,Offgrid solar photovoltaic,,0.44,,,
Iraq,Offshore wind energy,,,,,
Iraq,Ongrid solar photovoltaic,,,1.05,,0.06
Iraq,Onshore wind energy,,,,,
Iraq,Pumped storage,,,,,
Iraq,Renewable hydropower,,,,,
Iraq,Solar thermal energy,,,,,
Ireland,Concentrated solar power,,,,,
Ireland,Marine energy,,,,,
Ireland,Nuclear,,,,,
Ireland,Offgrid solar photovoltaic,,,,,
Ireland,Offshore wind energy,,,,,
Ireland,Ongrid solar photovoltaic,,,,22.11,
Ireland,Onshore wind energy,,,126.58,,
Ireland,Pumped storage,,,,,
Ireland,Renewable hydropower,,,,,
Ireland,Solar thermal energy,,,,,
Israel,Concentrated solar power,,,,,
Israel,Marine energy,,,,,
Israel,Nuclear,,,,,
Israel,Offgrid solar photovoltaic,,,,,
Israel,Offshore wind energy,,,,,
Israel,Ongrid solar photovoltaic,,,,,
Israel,Onshore wind energy,,,,,
Israel,Pumped storage,,,,,
Israel,Renewable hydropower,,,,,
Israel,Solar thermal energy,,,,,
Italy,Concentrated solar power,,,,,
Italy,Marine energy,,,,,
Italy,Nuclear,,,,,
Italy,Offgrid solar photovoltaic,,,,,
Italy,Offshore wind energy,,,,,
Italy,Ongrid solar photovoltaic,,,,165.33,
Italy,Onshore wind energy,,,83.18,52.65,
Italy,Pumped storage,,,,,
Italy,Renewable hydropower,,,140.13,,
Italy,Solar thermal energy,,,,,
Jamaica,Concentrated solar power,,,,,
Jamaica,Marine energy,,,,,
Jamaica,Nuclear,,,,,
Jamaica,Offgrid solar photovoltaic,,,,,
Jamaica,Offshore wind energy,,,,,
Jamaica,Ongrid solar photovoltaic,0.01,3.08,12.93,,7.67
Jamaica,Onshore wind energy,,,,,
Jamaica,Pumped storage,,,,,
Jamaica,Renewable hydropower,0,,,,
Jamaica,Solar thermal energy,,,,,
Jordan,Concentrated solar power,,,,,
Jordan,Marine energy,,,,,
Jordan,Nuclear,0.01,,,,
Jordan,Offgrid solar photovoltaic,,,,,58.13
Jordan,Offshore wind energy,,,,,
Jordan,Ongrid solar photovoltaic,55.51,22.07,23.44,0.05,
Jordan,Onshore wind energy,1.67,,,,14.37
Jordan,Pumped storage,,,,,
Jordan,Renewable hydropower,,,,,
Jordan,Solar thermal energy,,,,0.87,0.01
Kazakhstan,Concentrated solar power,,,,,
Kazakhstan,Marine energy,,,,,
Kazakhstan,Nuclear,0.19,0.01,,,
Kazakhstan,Offgrid solar photovoltaic,,,,,
Kazakhstan,Offshore wind energy,,,,,
Kazakhstan,Ongrid solar photovoltaic,43.7,,,,
Kazakhstan,Onshore wind energy,49.47,,43.48,,95.31
Kazakhstan,Pumped storage,,,,,
Kazakhstan,Renewable hydropower,,,,,
Kazakhstan,Solar thermal energy,,,,,
Kenya,Concentrated solar power,,,,,
Kenya,Marine energy,,,,,
Kenya,Nuclear,,,,,
Kenya,Offgrid solar photovoltaic,5.82,23.22,15.71,90.07,97.83
Kenya,Offshore wind energy,,,,,
Kenya,Ongrid solar photovoltaic,153.11,12.66,2.02,28.08,0.76
Kenya,Onshore wind energy,0.04,,0.03,0.25,
Kenya,Pumped storage,,,,,
Kenya,Renewable hydropower,28.46,,0.22,0.05,0.03
Kenya,Solar thermal energy,,0.28,,,0.01
Kiribati,Concentrated solar power,,,,,
Kiribati,Marine energy,,,,,
Kiribati,Nuclear,,,,,
Kiribati,Offgrid solar photovoltaic,,,,,
Kiribati,Offshore wind energy,,,,,
Kiribati,Ongrid solar photovoltaic,,8.02,,0.06,0.13
Kiribati,Onshore wind energy,,,,,
Kiribati,Pumped storage,,,,,
Kiribati,Renewable hydropower,,,,,
Kiribati,Solar thermal energy,,,,,
Kosovo,Concentrated solar power,,,,,
Kosovo,Marine energy,,,,,
Kosovo,Nuclear,,,,,
Kosovo,Offgrid solar photovoltaic,0.03,,0.06,0.04,0.62
Kosovo,Offshore wind energy,,,,,
Kosovo,Ongrid solar photovoltaic,,0.02,,7.5,28.69
Kosovo,Onshore wind energy,,,,,
Kosovo,Pumped storage,,,,,
Kosovo,Renewable hydropower,,,,,
Kosovo,Solar thermal energy,,,,57.63,
Kyrgyzstan,Concentrated solar power,,,,,
Kyrgyzstan,Marine energy,,,,,
Kyrgyzstan,Nuclear,,,,,
Kyrgyzstan,Offgrid solar photovoltaic,,,,39.5,16.12
Kyrgyzstan,Offshore wind energy,,,,,
Kyrgyzstan,Ongrid solar photovoltaic,,,,,0.15
Kyrgyzstan,Onshore wind energy,,,,,0.08
Kyrgyzstan,Pumped storage,,,,,
Kyrgyzstan,Renewable hydropower,91.31,0.07,,0.04,77.66
Kyrgyzstan,Solar thermal energy,,,,0.07,
Lao People's Democratic Republic (the),Concentrated solar power,,,,,
Lao People's Democratic Republic (the),Marine energy,,,,,
Lao People's Democratic Republic (the),Nuclear,,,,,
Lao People's Democratic Republic (the),Offgrid solar photovoltaic,,,,0,44.1
Lao People's Democratic Republic (the),Offshore wind energy,,,,,
Lao People's Democratic Republic (the),Ongrid solar photovoltaic,0.08,0.05,0.02,0.61,
Lao People's Democratic Republic (the),Onshore wind energy,,,,150,153.33
Lao People's Democratic Republic (the),Pumped storage,,,,,
Lao People's Democratic Republic (the),Renewable hydropower,0.13,0.47,,,
Lao People's Democratic Republic (the),Solar thermal energy,,,,,
Latvia,Concentrated solar power,,,,,
Latvia,Marine energy,,,,,
Latvia,Nuclear,,,,,
Latvia,Offgrid solar photovoltaic,,,,,
Latvia,Offshore wind energy,,,,,
Latvia,Ongrid solar photovoltaic,,,,,
Latvia,Onshore wind energy,,,,,
Latvia,Pumped storage,,,,,
Latvia,Renewable hydropower,,,,,
Latvia,Solar thermal energy,,,,,
Lebanon,Concentrated solar power,,,,,
Lebanon,Marine energy,,,,,
Lebanon,Nuclear,,,,,
Lebanon,Offgrid solar photovoltaic,0.03,0.01,0.43,0.58,0.25
Lebanon,Offshore wind energy,,,,,
Lebanon,Ongrid solar photovoltaic,0.29,0.15,0.21,1.48,0.65
Lebanon,Onshore wind energy,,,,,
Lebanon,Pumped storage,,,,,
Lebanon,Renewable hydropower,,,,,
Lebanon,Solar thermal energy,,,,,0.4
Lesotho,Concentrated solar power,,,,,
Lesotho,Marine energy,,,,,
Lesotho,Nuclear,,,,,
Lesotho,Offgrid solar photovoltaic,0,,,,
Lesotho,Offshore wind energy,,,,,
Lesotho,Ongrid solar photovoltaic,14.35,77.49,,1.41,
Lesotho,Onshore wind energy,,,,,
Lesotho,Pumped storage,,,,,
Lesotho,Renewable hydropower,,1.64,,10.77,
Lesotho,Solar thermal energy,,,,,
Liberia,Concentrated solar power,,,,,
Liberia,Marine energy,,,,,
Liberia,Nuclear,0.07,,,,
Liberia,Offgrid solar photovoltaic,,0.32,,10.58,0.17
Liberia,Offshore wind energy,,,,,
Liberia,Ongrid solar photovoltaic,,,3.43,,
Liberia,Onshore wind energy,,,,,
Liberia,Pumped storage,,,,,
Liberia,Renewable hydropower,3.78,9.05,0.02,,
Liberia,Solar thermal energy,,,,,
Libya,Concentrated solar power,,,,,
Libya,Marine energy,,,,,
Libya,Nuclear,0.01,,,,
Libya,Offgrid solar photovoltaic,,,0.23,,
Libya,Offshore wind energy,,,,,
Libya,Ongrid solar photovoltaic,,0.01,,,
Libya,Onshore wind energy,,,,,
Libya,Pumped storage,,,,,
Libya,Renewable hydropower,,,,,
Libya,Solar thermal energy,,,,,
Lithuania,Concentrated solar power,,,,,
Lithuania,Marine energy,,,,,
Lithuania,Nuclear,,,,,
Lithuania,Offgrid solar photovoltaic,,,,,
Lithuania,Offshore wind energy,,,,,
Lithuania,Ongrid solar photovoltaic,,,,,
Lithuania,Onshore wind energy,,,,,42.13
Lithuania,Pumped storage,,,,,
Lithuania,Renewable hydropower,,,,,
Lithuania,Solar thermal energy,,,,,
Madagascar,Concentrated solar power,,,,,
Madagascar,Marine energy,,,,,
Madagascar,Nuclear,,,,,
Madagascar,Offgrid solar photovoltaic,0,3.07,2.84,30.28,214.12
Madagascar,Offshore wind energy,,,,,
Madagascar,Ongrid solar photovoltaic,0.06,0.03,,0.29,46.47
Madagascar,Onshore wind energy,0,0,0,0,0
Madagascar,Pumped storage,,,,,
Madagascar,Renewable hydropower,42.65,,91.18,7.45,39.5
Madagascar,Solar thermal energy,0,0.03,0.02,,0.16
Malawi,Concentrated solar power,,,,,
Malawi,Marine energy,,,,,
Malawi,Nuclear,,,,,
Malawi,Offgrid solar photovoltaic,4.48,0.01,0.21,3.76,0.54
Malawi,Offshore wind energy,,,,,
Malawi,Ongrid solar photovoltaic,105.23,10.01,12.99,25.08,
Malawi,Onshore wind energy,3.18,,,,
Malawi,Pumped storage,,,,,
Malawi,Renewable hydropower,7.31,0.71,1.53,45.43,13.14
Malawi,Solar thermal energy,,,,,
Malaysia,Concentrated solar power,,,,,
Malaysia,Marine energy,,,,,
Malaysia,Nuclear,0.01,0.09,,,
Malaysia,Offgrid solar photovoltaic,0.01,,,,
Malaysia,Offshore wind energy,,,,,
Malaysia,Ongrid solar photovoltaic,0,3.87,,,
Malaysia,Onshore wind energy,,,,,
Malaysia,Pumped storage,,,,,
Malaysia,Renewable hydropower,,,,,0.29
Malaysia,Solar thermal energy,,,,,
Maldives,Concentrated solar power,,,,,
Maldives,Marine energy,,,,,
Maldives,Nuclear,,,,,
Maldives,Offgrid solar photovoltaic,0.02,0.07,6.59,,
Maldives,Offshore wind energy,,,,,
Maldives,Ongrid solar photovoltaic,,14.39,19.64,0.63,5.25
Maldives,Onshore wind energy,,,,,2.78
Maldives,Pumped storage,,,,,
Maldives,Renewable hydropower,,,,,
